"domain","resource","field","type","required","visibility","provenance","verification","mutability","notes"
"physical","Structure","built_area_m2","numeric(12,2)","O","scoped","document|official|inspection","optional","observed",""
"physical","Structure","construction_system","enum","O","authenticated","document|inspection","optional","observed",""
"physical","Space","space_type","enum","R","authenticated","platform|document","optional","stable","unit/parking/storage/common/etc"
"physical","Space","label","text","R","authenticated","user|document","optional","observed","P-21/A4/etc"
"physical","Space","floor","text","O","authenticated","user|document","optional","observed","supports basement labels"
"physical","Space","area_m2","numeric(10,2)","O","scoped","document|inspection","optional","observed",""
"physical","Space","access_scope","enum","R","scoped","platform|document","optional","stable","exclusive/common/restricted_common"
"physical","Space","legal_relation","enum","O","owner","document|official","evidence_backed","stable","deeded/dependent/usage_right/common"
"physical","Space","independently_leaseable","boolean","R","owner","platform","platform","stable",""
"physical","Space","independently_listable","boolean","R","owner","platform","platform","stable",""
"rights","RegistryIdentity","authority","enum","R","owner","official","official","stable","external authority"
"rights","RegistryIdentity","registry_identifier","text","C","sensitive","official","official","stable","never public"
"rights","RegistryIdentity","registration_district","text","O","owner","document|official","evidence_backed","stable",""
"rights","RegistryIdentity","main_parcel_no","text","O","sensitive","document|official","evidence_backed","stable",""
"rights","RegistryIdentity","sub_parcel_no","text","O","sensitive","document|official","evidence_backed","stable",""
"rights","RegistryIdentity","separation_piece_no","text","O","sensitive","document|official","evidence_backed","stable",""
"rights","RegistryIdentity","issue_date","date","O","owner","official","official","stable",""
"rights","PropertyRight","right_type","enum","R","owner","official|document","evidence_backed","temporal","ownership/usufruct/easement/etc"
"rights","PropertyRight","tenure_status","enum","O","owner","official|document","evidence_backed","temporal","freehold_talq/waqf/etc"
"rights","OwnershipInterest","share_numerator","bigint","R","owner","document|official","evidence_backed","temporal","exact rational"
"rights","OwnershipInterest","share_denominator","bigint","R","owner","document|official","evidence_backed","temporal","exact rational"
"rights","OwnershipInterest","source_notation","text","O","owner","document|user","evidence_backed","immutable_snapshot","e.g. 2.5/6 dang"
"people","Party","party_type","enum","R","scoped","platform","platform","stable","person/organization"
"people","Party","display_name","text","R","scoped","user|identity","optional","observed",""
"people","Party","national_identifier","encrypted_ref","O","sensitive_admin","official|identity","verified","stable","PII"
"people","Party","phone","encrypted_ref","O","sensitive_admin","identity","verified","observed","PII"
"people","RoleAssignment","role_type","enum","R","scoped","platform|contract","optional","temporal","owner/tenant/manager/etc"
"people","RoleAssignment","scope_type","enum","R","scoped","platform","platform","temporal","property/space/bundle/building"
"people","RoleAssignment","scope_id","uuid","R","scoped","platform","platform","temporal",""
"people","RoleAssignment","valid_from","timestamptz","O","scoped","contract|platform","optional","temporal",""
"people","RoleAssignment","valid_to","timestamptz","O","scoped","contract|platform","optional","temporal",""
"residential","ResidentialProfile","rooms_count","smallint","O","authenticated","user|document","optional","observed",""
"residential","ResidentialProfile","floor_number","smallint","O","authenticated","user|document","optional","observed",""
"residential","ResidentialProfile","units_on_floor","smallint","O","authenticated","user|document","optional","observed",""
"residential","ResidentialProfile","balcony","boolean","O","authenticated","user|inspection","optional","observed",""
"residential","ResidentialProfile","heating_type","enum","O","authenticated","user|inspection","optional","observed",""
"residential","ResidentialProfile","cooling_type","enum","O","authenticated","user|inspection","optional","observed",""
"villa","VillaProfile","land_area_m2","numeric(12,2)","C","scoped","document|inspection","optional","observed",""
"villa","VillaProfile","built_area_m2","numeric(12,2)","C","scoped","document|inspection","optional","observed",""
"villa","VillaProfile","yard_area_m2","numeric(12,2)","O","authenticated","user|inspection","optional","observed",""
"villa","VillaProfile","pool_type","enum","O","authenticated","user|inspection","optional","observed",""
"villa","VillaProfile","jacuzzi","boolean","O","authenticated","user|inspection","optional","observed",""
"commercial","CommercialProfile","shopfront_width_m","numeric(8,2)","O","authenticated","user|inspection","optional","observed",""
"commercial","CommercialProfile","ceiling_height_m","numeric(6,2)","O","authenticated","user|inspection","optional","observed",""
"commercial","CommercialProfile","warehouse_area_m2","numeric(10,2)","O","authenticated","user|inspection","optional","observed",""
"commercial","CommercialProfile","three_phase_power","boolean","O","authenticated","user|inspection","optional","observed",""
"commercial","CommercialProfile","business_right_type","enum","O","owner","document|official","evidence_backed","temporal","ownership/sarqofli/etc"
"office","OfficeProfile","meeting_room_count","smallint","O","authenticated","user","none","observed",""
"office","OfficeProfile","fiber_available","boolean","O","authenticated","user|provider","optional","observed",""
"office","OfficeProfile","access_hours","text","O","authenticated","operator","optional","temporal",""
"land","LandProfile","water_access","enum","O","scoped","user|provider|inspection","optional","observed",""
"land","LandProfile","electric_access","enum","O","scoped","user|provider|inspection","optional","observed",""
"land","LandProfile","gas_access","enum","O","scoped","user|provider|inspection","optional","observed",""
"land","LandProfile","buildability_claim_id","uuid","O","owner","claim","claim","temporal","not a fact without evidence"
"agriculture","AgriculturalProfile","cultivated_area_m2","numeric(12,2)","O","owner","user|inspection","optional","observed",""
"agriculture","AgriculturalProfile","operation_type","enum","O","authenticated","user","none","observed","garden/farm/greenhouse/etc"
"agriculture","AgriculturalProfile","water_source","enum","O","owner","user|document","evidence_backed","observed","well/share/network/etc"
"agriculture","AgriculturalProfile","irrigation_type","enum","O","authenticated","user|inspection","optional","observed",""
"agriculture","AgriculturalProfile","well_permit_claim_id","uuid","O","owner","claim|official","claim","temporal",""
"industrial","IndustrialProfile","hall_area_m2","numeric(12,2)","O","authenticated","document|inspection","optional","observed",""
"industrial","IndustrialProfile","office_area_m2","numeric(12,2)","O","authenticated","document|inspection","optional","observed",""
"industrial","IndustrialProfile","clear_height_m","numeric(6,2)","O","authenticated","inspection|document","optional","observed",""
"industrial","IndustrialProfile","power_phase","enum","O","authenticated","provider|inspection","optional","observed",""
"industrial","IndustrialProfile","power_amp","numeric(10,2)","O","authenticated","provider|inspection","optional","observed",""
"industrial","IndustrialProfile","truck_access","boolean","O","authenticated","inspection","optional","observed",""
"industrial","IndustrialProfile","loading_door_count","smallint","O","authenticated","inspection","optional","observed",""
"industrial","IndustrialProfile","overhead_crane_profile","text","O","authenticated","inspection","optional","observed",""
"docs","Document","document_type","enum","R","owner","user|official|provider","varies","stable",""
"docs","Document","content_hash","text","R","sensitive_admin","platform","platform","immutable","integrity"
"docs","Document","visibility_class","enum","R","sensitive_admin","platform","platform","temporal",""
"trust","Claim","claim_type","enum","R","scoped","user|provider|platform","self_reported","temporal",""
"trust","Claim","value_json_typed","jsonb","R","scoped","asserted","varies","temporal","versioned schema"
"trust","Evidence","evidence_type","enum","R","scoped","document|media|official","evidence_backed","immutable",""
"trust","Verification","level","enum","R","scoped","provider|platform|official","verified","temporal",""
"lease","Lease","starts_on","date","R","parties","contract","evidence_backed","temporal",""
"lease","Lease","ends_on","date","R","parties","contract","evidence_backed","temporal",""
"lease","Lease","deposit_amount","bigint","C","parties","contract","evidence_backed","immutable_snapshot","with currency"
"lease","Lease","recurring_rent_amount","bigint","C","parties","contract","evidence_backed","immutable_snapshot","with currency"
"lease","LeaseParty","role","enum","R","parties","contract","evidence_backed","temporal","lessor/lessee/witness/etc"
"lease","LeaseRegistrationRef","external_tracking_code","text","O","parties","official","official","stable","external ref only"
"building","ChargeScheme","allocation_method","enum","R","manager|owner","approved_rule","platform","temporal","by_area/equal/mixed/custom"
"building","ChargeAllocation","amount","bigint","R","liable_party|manager","platform","platform","transactional","with currency"
"building","ChargeAllocation","basis_snapshot_json","jsonb","R","manager|owner","platform","platform","immutable","preserve calculation evidence"
"building","Expense","amount","bigint","R","manager|owner","invoice|user","optional","transactional",""
"maintenance","MaintenanceTicket","severity","enum","R","scoped","user|manager","none","temporal",""
"maintenance","MaintenanceTicket","status","enum","R","scoped","platform","platform","temporal",""
"market","Listing","listing_type","enum","R","public","user|platform","none","temporal","sale/rent/etc"
"market","Listing","public_location_precision","enum","R","public","platform","platform","temporal","privacy control"
"market","ListingTerms","asking_price_amount","bigint","C","public","owner|agent","none","temporal","with currency"
"market","Offer","financial_terms_snapshot","jsonb","R","deal_parties","party","none","immutable_snapshot","schema-versioned"
"stay","StayOffering","standard_capacity","smallint","C","public","host","none","observed",""
"stay","StayOffering","max_capacity","smallint","C","public","host","none","observed",""
"stay","StayOffering","instant_booking","boolean","R","public","host","none","temporal",""
"stay","AvailabilityDay","local_date","date","R","host","platform","platform","transactional","property-local date"
"stay","AvailabilityDay","state","enum","R","host","platform","platform","transactional",""
"stay","RateRule","nightly_rate","bigint","R","public|host","host|platform","none","temporal","with currency"
"stay","Reservation","pricing_snapshot","jsonb","R","booking_parties","platform","platform","immutable",""
"inspection","Inspection","template_version","text","R","scoped","platform","platform","immutable_snapshot",""
"inspection","Finding","severity","enum","R","scoped","inspector","provider_verified","immutable_snapshot",""
"audit","AuditEvent","actor_id","uuid","R","sensitive_admin","platform","platform","immutable",""
"audit","AuditEvent","action","enum","R","sensitive_admin","platform","platform","immutable",""
"audit","AuditEvent","resource_type","enum","R","sensitive_admin","platform","platform","immutable",""
"audit","AuditEvent","resource_id","uuid","R","sensitive_admin","platform","platform","immutable",""
"audit","AuditEvent","correlation_id","text","O","sensitive_admin","platform","platform","immutable",""
